ls_id,dec,ra,elat,elon,glat,glon,mjd_max,mjd_min,ref_id,brickid,bx,by,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,dec_ivar,dered_flux_g,dered_flux_r,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,dered_flux_z,dered_mag_g,dered_mag_r,dered_mag_w1,dered_mag_w2,dered_mag_w3,dered_mag_w4,dered_mag_z,ebv,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,flux_w1,flux_w2,flux_w3,flux_w4,fracdev,fracdev_ivar,fracflux_g,fracflux_r,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracflux_z,fracin_g,fracin_r,fracin_z,fracmasked_g,fracmasked_r,fracmasked_z,gaia_astrometric_excess_noise,gaia_astrometric_excess_noise_sig,gaia_astrometric_weight_al,gaia_phot_bp_mean_flux_over_error,gaia_phot_bp_mean_mag,gaia_phot_g_mean_flux_over_error,gaia_phot_g_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_phot_rp_mean_mag,galdepth_g,galdepth_r,galdepth_z,g_r,htm9,mag_g,mag_r,mag_w1,mag_w2,mag_w3,mag_w4,mag_z,mw_transmission_g,mw_transmission_r,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,mw_transmission_z,nest4096,objid,parallax,parallax_ivar,pmdec,pmdec_ivar,pmra,pmra_ivar,psfdepth_g,psfdepth_w1,psfdepth_w2,psfdepth_w3,psfdepth_w4,psfdepth_r,psfdepth_z,psfsize_g,psfsize_r,psfsize_z,ra_ivar,random_id,rchisq_g,rchisq_r,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,rchisq_z,ref_epoch,ring256,r_z,shapedev_e1,shapedev_e1_ivar,shapedev_e2,shapedev_e2_ivar,shapedev_r,shapedev_r_ivar,shapeexp_e1,shapeexp_e1_ivar,shapeexp_e2,shapeexp_e2_ivar,shapeexp_r,shapeexp_r_ivar,snr_g,snr_r,snr_w1,snr_w2,snr_w3,snr_w4,snr_z,w1_w2,w2_w3,w3_w4,z_w1,allmask_g,allmask_r,allmask_z,anymask_g,anymask_r,anymask_z,brick_primary,gaia_astrometric_n_good_obs_al,gaia_astrometric_n_obs_al,gaia_duplicated_source,gaia_phot_bp_n_obs,gaia_phot_g_n_obs,gaia_phot_rp_n_obs,gaia_phot_variable_flag,gaia_pointsource,nobs_g,nobs_r,nobs_w1,nobs_w2,nobs_w3,nobs_w4,nobs_z,release,wisemask_w1,wisemask_w2,brickname,ref_cat,type,wise_coadd_id
8796128867583691,40.7378073347247,217.573444802962,51.49307074874,195.302539885194,65.5268894820238,73.0520482033882,58170.4682153873,57461.4576885705,663294,546957,2890.6,1632.62,2.3267e+06,7.91258e+06,8.15528e+06,8.47472e+06,8.57789e+06,0,620.702,1016.26,1287.64,869.561,7467.02,12535.6,1475.85,15.5178,14.9825,14.7255,15.1518,12.8171,12.2546,14.5774,0.012155,40.8279,67.6365,99.2785,40.8279,67.6365,99.2785,1.79149,0.362314,0.00105,1.7e-05,1284.99,868.461,7465.01,12534.3,0.444829,3.06892e+06,4.4e-05,0.00055,0.005718,0.013739,0.007652,0.105068,0.000129,0.739019,0.529782,0.968086,0.037054,0.046114,0.032297,0,0,0,0,0,0,0,0,0,614.706,77.2701,96.7378,0.548059,3658865,15.5569,15.0088,14.7278,15.1531,12.8174,12.2548,14.5921,0.964657,0.976053,0.997942,0.998736,0.99973,0.999898,0.986534,43403308,1739,0,0,0,0,0,0,895.205,5.7554,1.12522,0.002039,2.5e-05,113.407,193.088,1.74683,1.64184,1.15899,0,52.9543,29.601,9.81631,350.906,39.9902,8.2993,0.435254,16.7473,0,136299,0.416685,0.088669,850389,-0.115872,1.0094e+06,7.25037,39244.3,0.319939,9.00409e+06,0.043859,5.31911e+06,3.79627,579934,1571.09,1071.6,1719.91,522.749,241.917,52.1538,2229.22,-0.425373,2.3357,0.562675,-0.135635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,199,199,26,27,4,8001,0,0,2176p407,L2,COMP,2175p408
8796129010384921,41.1253227250181,217.52397808434,51.8077968497,194.933203650265,65.3874746116172,73.9271622273532,57895.3314468674,57475.3884953667,0,549136,2837.96,86.9724,15852.8,22757.6,23190.3,23248.2,23520,1.63842e+11,3.39013,13.3281,66.1345,43.9468,111.641,84.4759,32.7726,21.1745,19.6881,17.9489,18.3927,17.3804,17.6832,18.7112,0.010162,0.862167,3.423,8.49234,0.862167,3.423,8.49234,4.13539,0.796811,0.002092,2.7e-05,66.0207,43.9004,111.616,84.4687,0.250327,17876.7,0,0,0.023148,0.026053,0.063597,0.939544,0,0.996222,0.996595,0.998319,0.009821,0.008864,0.006565,0,0,0,0,0,0,0,0,0,427.267,135.362,51.471,1.49704,3658839,21.2071,19.7101,17.9508,18.3938,17.3807,17.6833,18.7235,0.970368,0.979941,0.998279,0.998943,0.999774,0.999915,0.98873,43404160,25,0,0,0,0,0,0,542.97,5.78554,1.12669,0.002457,2.9e-05,190.492,111.548,2.15086,1.88927,1.00394,2.46153e+11,50.1089,0.917368,0.888558,3.26699,1.19456,0.89365,0.140381,1.1771,0,134251,0.986551,0.389469,466.8,-0.396236,489.901,0.788202,831.481,0.153063,7523.25,0.296057,11663.7,1.8776,2422.56,43.3999,87.1394,134.257,39.1873,5.10464,0.437536,118.492,-0.443029,1.01314,-0.302572,0.772728,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,207,206,28,28,2,8001,0,0,2176p412,"",COMP,2175p408
8796128939084032,41.0162118027614,217.55716776509,51.7266729125125,195.05784858259,65.4142916146502,73.6660707919883,57895.3314468674,57467.4111574067,0,548048,1064.14,2022.56,9435.15,11146.8,11608,11561.8,11747.2,1.20796e+11,4.25906,9.11357,15.7365,14.8025,73.7301,36.7512,18.3249,20.9267,20.1008,19.5077,19.5742,17.8309,18.5868,19.3424,0.01153,1.08665,2.35128,4.77593,1.08719,2.35423,4.78324,2.51951,0.503577,0.001354,1.9e-05,15.7058,14.7847,73.7112,36.7476,0.639244,22786.2,0.037816,0.076195,1.96593,1.35215,0.460598,17.2234,0.044439,0.900192,0.901416,0.902681,0.061006,0.06284,0.059832,0,0,0,0,0,0,0,0,0,433.669,131.204,95.3793,0.838032,3658837,20.9638,20.1257,19.5099,19.5755,17.8312,18.5869,19.3564,0.966444,0.977271,0.998048,0.998801,0.999744,0.999903,0.987222,43403865,2304,0,0,0,0,0,0,554.705,5.82597,1.13614,0.002202,2.6e-05,181.611,207.265,2.12799,1.93493,1.00973,1.84614e+11,2.04394,1.13089,0.921046,2.7769,0.640547,0.622333,0.11152,1.10693,0,135274,0.769384,-0.15833,1136.57,0.641914,2126.01,6.55705,20.2667,0.514652,740.792,0.144915,847.478,0.710875,2825.29,45.3715,52.2996,24.9297,10.4917,2.71263,0.160121,84.1411,-0.065615,1.7443,-0.755762,-0.153494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,201,202,27,25,4,8001,0,0,2174p410,"",COMP,2175p408
8796128939083344,40.9694132525626,217.564312114465,51.6891301931701,195.103769280194,65.4304213445553,73.5596557751168,57895.3314468674,57474.4187615767,0,548048,989.497,1379.59,1146.83,1153.88,1163.85,1157.47,1176,3.34778e+10,1.12958,2.83368,8.65903,8.30238,4.55856,250.165,4.7241,22.3677,21.3691,20.1563,20.202,20.8529,16.5044,20.8142,0.011519,0.41449,1.05143,1.77069,0.41449,1.05143,1.77069,2.67687,0.522079,0.001254,1.8e-05,8.64215,8.29243,4.5574,250.141,0.587158,3263.43,0,0,1.02605,0.794219,6.96013,2.28037,0,0.746803,0.747271,0.746628,0.093433,0.091142,0.070042,0,0,0,0,0,0,0,0,0,438.563,135.309,53.2133,1.01066,3658866,22.4047,21.3941,20.1584,20.2033,20.8532,16.5045,20.8282,0.966476,0.977292,0.99805,0.998802,0.999744,0.999903,0.987234,43403845,1616,0,0,0,0,0,0,560.694,5.82597,1.13614,0.002202,2.6e-05,188.279,128.803,2.12802,1.91771,0.887536,2.99694e+10,79.8161,0.834958,0.7948,12.7184,3.32717,0.602157,0.142825,0.926968,0,135274,0.56591,0.211523,60.5614,0.05659,21.7538,5.24,1.30544,0,0,-0,0,0,1.91846,14.0768,19.7432,14.1395,5.9917,0.161394,1.05536,24.0511,-0.044851,-0.649912,4.34867,0.669706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,204,204,24,24,2,8001,0,0,2174p410,"",COMP,2175p408
8796128939082827,40.9384003061551,217.569820920667,51.6645408202991,195.134976300662,65.4405416859506,73.4884320274648,57895.3314468674,57474.4187615767,212928,548048,931.936,953.506,193309,385966,429531,437846,442687,0,56.2978,103.129,139.191,93.7699,523.451,535.2,164.121,18.1238,17.4666,17.141,17.5698,15.7028,15.6787,16.9621,0.011535,6.83735,12.6653,20.3611,6.83737,12.6655,20.3624,3.01204,0.602091,0.001412,2.1e-05,138.92,93.6574,523.317,535.148,0.091882,1.29251e+06,0.000167,0.000437,0.06503,0.055688,0.145005,0.79653,0.000616,0.999772,0.999776,0.999818,0.001283,0.001311,0.000928,0,0,0,0,0,0,0,0,0,438.563,135.309,80.8555,0.669321,3658866,18.1608,17.4915,17.1431,17.5711,15.7031,15.6788,16.9761,0.96643,0.977261,0.998047,0.9988,0.999744,0.999903,0.987216,43403502,1099,0,0,0,0,0,0,560.694,5.82597,1.13614,0.002202,2.6e-05,188.279,184.317,2.12802,1.91771,0.948787,0,54.3913,5.29447,2.56732,12.307,1.63782,0.762421,0.16637,3.21487,0,136299,0.515461,0.373763,2390.83,-0.021063,1684.58,0.555151,7536.12,0.366432,511959,0.281697,441222,3.80959,19981,375.039,368.959,241.098,72.6731,19.6661,2.46229,407.017,-0.428053,1.86806,0.024273,-0.167028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,212,211,24,25,3,8001,0,0,2174p410,L2,COMP,2175p408
8796128939084454,41.0355570762959,217.404929591815,51.6848188236813,194.882460361411,65.5081165716136,73.8322253577649,57895.3314468674,57467.4111574067,0,548048,2642.22,2288.46,1967.35,2037.24,2126.01,2063.42,2150.66,3.64532e+10,2.25009,4.27258,-0.656304,-1.57664,-20.6762,127.158,6.18306,21.6195,20.9233,NaN,NaN,NaN,17.2391,20.522,0.011403,0.663902,1.27462,1.86313,0.666483,1.28557,1.8884,2.53033,0.513609,0.001501,2.2e-05,-0.655037,-1.57477,-20.6709,127.146,0.739041,6356.18,0,0,27.5442,7.91529,2.45319,5.07692,0,0.762791,0.767854,0.757511,0.10257,0.098385,0.079322,0,0,0,0,0,0,0,0,0,436.327,124.228,66.1033,0.708189,3658839,21.6562,20.948,NaN,NaN,NaN,17.2392,20.5358,0.966807,0.977518,0.998069,0.998814,0.999747,0.999904,0.987361,43403933,2726,0,0,0,0,0,0,574.04,5.82597,1.13614,0.002202,2.6e-05,188.796,136.008,2.0291,1.53255,1.07018,2.97044e+10,59.3779,0.989184,1.05082,4.5889,0.583708,0.641725,0.139219,0.837255,0,135274,0.412161,-0.243717,195.84,0.553734,719.632,5.24,98.1699,-0.023334,0,0.056455,0,0,0.87141,24.5165,24.5519,-1.04197,-1.12858,-0.800927,0.595145,27.3636,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,205,205,29,29,3,8001,0,0,2174p410,"",COMP,2175p408
8796129010321872,41.2693702119938,217.277727810864,51.8368700604937,194.556424449579,65.4863575835246,74.4391930296523,58174.5062793903,57474.3953819467,0,549135,1955.34,2065.67,86772,134593,139524,135006,141206,1.28912e+12,14.1899,39.1682,78.1858,54.9512,131.548,230.783,72.6756,19.62,18.5177,17.7672,18.1501,17.2023,16.592,17.8465,0.010597,2.7669,7.71601,14.4508,2.7669,7.71601,14.4508,3.53162,0.695174,0.002081,2.9e-05,78.0455,54.8906,131.518,230.763,0.176901,502813,0.000635,8.3e-05,0.01491,0.017444,0.128652,1.40095,1.7e-05,0.753331,0.999437,0.998993,0.014338,0.00681,0.006355,0,0,0,0,0,0,0,0,0,479.167,143.403,112.65,1.1135,3658953,19.6541,18.5406,17.7691,18.1513,17.2025,16.5921,17.8594,0.969117,0.97909,0.998206,0.998898,0.999765,0.999911,0.98825,43409606,2512,0,0,0,0,0,0,605.063,5.68669,1.11457,0.002705,3.3e-05,219.173,256.433,2.31488,1.50909,0.956533,1.26685e+12,43.7348,2.43386,1.81488,9.28218,0.731146,0.876486,0.122027,1.81596,0,134250,0.681248,0.004348,1282.5,0.454819,1371.76,0.309485,18630.8,0.061128,58894.7,-0.120882,93525.9,2.38242,11725.4,149.978,181.241,146.668,45.7662,5.99986,1.23526,292.977,-0.382124,0.948713,0.610456,0.090231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,207,206,31,32,4,8001,0,0,2172p412,"",COMP,2175p408
8796129010321064,41.2265961241564,217.270690207255,51.7974194086612,194.58450240016,65.5108002295608,74.3535946831844,57895.3314468674,57474.3953819467,0,549135,2028.17,1477.95,79074.5,125250,131198,125717,132621,1.28138e+12,20.1754,49.4131,80.7589,62.6047,187.852,-298.106,86.5566,19.2379,18.2654,17.732,18.0085,16.8155,NaN,17.6567,0.010719,3.4255,8.47697,14.9896,3.4255,8.47697,14.9896,3.08575,0.616755,0.00204,2.9e-05,80.6124,62.5349,187.807,-298.08,0.170704,559722,0.000378,0.000969,0.082594,0.086438,0.144176,1.12529,0.000701,0.9988,0.998631,0.998233,0.013027,0.012157,0.008569,0,0,0,0,0,0,0,0,0,410.902,125.636,85.8121,0.983793,3658838,19.2724,18.2886,17.734,18.0097,16.8157,NaN,17.6697,0.968767,0.978852,0.998185,0.998885,0.999762,0.99991,0.988115,43409600,1704,0,0,0,0,0,0,533.063,5.68669,1.11457,0.002705,3.3e-05,181.297,203.676,2.08047,1.81462,0.915027,9.36638e+11,35.5419,1.43768,1.20252,4.65799,1.11654,0.670279,0.101844,1.18426,0,134250,0.618872,-0.424101,1608.26,-0.403523,1548.2,0.387029,13629,-0.010888,42074.2,-0.042477,98552.7,2.52863,10077.1,158.652,194.014,141.606,49.111,8.48214,-1.61531,264.328,-0.275698,1.19397,NaN,-0.064266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,198,197,32,33,3,8001,0,0,2172p412,"",COMP,2175p408
8796129010321134,41.2295748957332,217.171045368369,51.7616096588531,194.477986399755,65.5758768154542,74.4436558695188,57895.3314468674,57474.3953819467,1491541953201045632,549135,3057.88,1519.73,281466,590015,601982,590836,613141,2.45659e+12,73.5056,147.186,194.746,133.498,582.346,571.419,239.931,17.8342,17.0803,16.7763,17.1863,15.587,15.6076,16.5498,0.011449,8.92856,18.0772,29.7659,8.92856,18.0772,29.7659,2.70306,0.558518,0.001856,2.8e-05,194.368,133.339,582.198,571.364,0.117507,3.01835e+06,0,0,0.009345,0.010011,0.026019,0.62905,0,0.996456,0.996754,0.997144,0.009209,0.009102,0.00697,16.9553,93.1964,0.003088,NaN,NaN,108.862,20.2603,NaN,NaN,410.902,125.636,81.2012,0.765877,3658955,17.871,17.1051,16.7784,17.1876,15.5873,15.6077,16.5637,0.966675,0.977428,0.998062,0.998809,0.999746,0.999904,0.987311,43409584,1774,0,0,0,0,0,0,533.063,5.68669,1.11457,0.002705,3.3e-05,181.297,192.803,2.08047,1.81462,0.916703,3.43089e+12,58.4718,4.91174,1.68877,21.548,4.47965,0.763197,0.103864,2.14252,2015.5,134250,0.541468,-0.480972,5810.08,-0.26487,5568.54,0.473225,26918.8,0.033722,483882,-0.039667,485121,2.99571,43808.3,404.604,417.774,319.561,99.6497,25.079,3.01022,524.508,-0.409172,1.60029,-0.020395,-0.214783,0,0,0,0,0,0,1,164,166,1,0,189,0,0,0,3,3,197,203,33,33,3,8001,0,0,2172p412,G2,COMP,2175p408
8796128939020363,41.1178974265337,217.134379072627,51.6515343686024,194.53191947164,65.6519627269425,74.2346821448994,57895.3314468674,57474.3953819467,6771,548047,2022.93,3419.49,1.35908e+06,2.70737e+06,3.00884e+06,2.81755e+06,3.04388e+06,0,214.252,401.808,742.475,572.729,3868.98,8377.06,691.053,16.6727,15.99,15.3233,15.6051,13.531,12.6923,15.4012,0.010834,25.2936,47.9345,83.2292,25.3162,47.9626,83.2535,2.37962,0.488416,0.001516,2.5e-05,741.113,572.084,3868.05,8376.3,0.392003,4.31344e+06,0.021025,0.01511,0.034705,0.029665,0.050887,0.215935,0.006677,0.9968,0.747571,0.993832,0.008891,0.008509,0.010532,0,0,0,0,0,0,0,0,0,415.159,123.779,102.443,0.694096,3658952,16.7075,16.0134,15.3253,15.6063,13.5313,12.6924,15.4143,0.968439,0.978629,0.998166,0.998873,0.99976,0.999909,0.987989,43398620,4171,0,0,0,0,0,0,540.656,5.69963,1.11927,0.002531,3e-05,176.839,223.671,2.06584,1.83737,1.01509,0,37.723,19.3418,10.6421,263.462,32.3555,1.9749,0.126405,14.9403,0,135273,0.599068,-0.309381,587622,0.318689,594132,2.08894,75317.5,0.10193,995430,0.147596,1.23092e+06,5.09162,29081.5,820.628,822.353,1143.24,399.811,150.599,41.5142,1302.71,-0.281061,2.07508,0.8389,0.089052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,226,227,31,32,4,8001,0,0,2171p410,L2,COMP,2175p408
