,1,Estados Unidos (USA),1022,794,704,2520
0,-,Unión Soviética (URS),395,319,296.0,1010.0
1,2,Reino Unido (GBR),263,295,289.0,847.0
2,3,China (CHN),227,163,153.0,543.0
3,4,Alemania (GER),219,246,269.0,734.0
4,5,Francia (FRA),212,241,260.0,713.0
5,6,Italia (ITA),208,178,193.0,579.0
6,7,Hungría (HUN),175,147,169.0,491.0
7,8,Rusia (RUS),153,143,164.0,460.0
8,-,Alemania Oriental (RDA),153,129,127.0,409.0
9,9,Australia (AUS),146,164,187.0,497.0
10,10,Suecia (SWE),145,170,179.0,494.0
11,11,Japón (JPN),142,134,163.0,439.0
12,12,Finlandia (FIN),101,84,118.0,303.0
13,13,Corea del Sur (KOR),90,85,89.0,264.0
14,14,Rumanía (RUM),89,95,122.0,306.0
15,15,Países Bajos (NED),85,92,108.0,285.0
16,16,Cuba (CUB),77,69,74.0,220.0
17,17,Polonia (POL),66,85,131.0,282.0
18,18,Canadá (CAN),63,102,136.0,301.0
19,-,Alemania Occidental (RFA),56,67,81.0,204.0
20,19,Noruega (NOR),56,49,47.0,152.0
21,20,Bulgaria (BUL),51,86,80.0,217.0
22,21,Suiza (SUI),50,75,67.0,192.0
23,-,Checoslovaquia (TCH),49,49,45.0,143.0
24,22,Nueva Zelanda (NZL),46,27,44.0,117.0
25,23,Dinamarca (DEN),45,73,76.0,194.0
26,24,España (ESP),45,64,42.0,151.0
27,-,Equipo Unificado (EUN),45,38,29.0,112.0
28,25,Turquía (TUR),40,28,28.0,96.0
29,26,Bélgica (BEL),39,54,55.0,148.0
30,27,Ucrania (UKR),35,32,59.0,126.0
31,28,Grecia (GRE),33,43,41.0,117.0
32,29,Kenia (KEN),31,38,30.0,99.0
33,30,Brasil (BRA),30,36,61.0,127.0
34,-,Yugoslavia (YUG),28,31,31.0,90.0
35,31,Sudáfrica (RSA),25,32,29.0,86.0
36,32,Jamaica (JAM),22,33,22.0,77.0
37,33,Etiopía (ETH),22,9,22.0,53.0
38,34,Argentina (ARG),21,25,28.0,74.0
39,35,Kazajstán (KAZ),19,22,28.0,69.0
40,36,Austria (AUT),18,33,36.0,87.0
41,37,Irán (IRI),18,21,29.0,68.0
42,38,Corea del Norte (PRK),16,15,23.0,54.0
43,39,República Checa (CZE),15,17,22.0,54.0
44,40,Bielorrusia (BLR),13,28,43.0,84.0
45,41,México (MEX),13,24,32.0,69.0
46,42,Croacia (CRO),11,10,12.0,33.0
47,43,Eslovaquia (SVK),9,11,8.0,28.0
48,44,Irlanda (IRL),9,10,11.0,30.0
49,45,Estonia (EST),9,9,16.0,34.0
50,46,Tailandia (THA),9,8,13.0,30.0
51,47,Uzbekistán (UZB),9,7,17.0,33.0
52,48,India (IND),9,7,12.0,28.0
53,49,Georgia (GEO),8,6,18.0,32.0
54,50,Azerbaiyán (AZE),7,12,25.0,44.0
55,51,Indonesia (INA),7,12,11.0,30.0
56,52,Egipto (EGY),7,9,13.0,29.0
57,53,Lituania (LTU),6,6,13.0,21.0
