,1,ADMINISTRACIÓN Y MANEJO DE PERSONAL,A,VIERNES/18-21/F5,Unnamed: 4,Unnamed: 5,ALDELMO EMMANUEL ISRAEL REYES PABLO
0,2.0,ALEMÁN I,A,MIÉRCOLES/16-19/F2,,,CARSTEN HOLTFORT
1,3.0,ANÁLISIS DE CIRCUITOS,A,MARTES/12-14/F7,JUEVES/10-14/LAB. ELECTRÓNICA,,ISMAEL TORRES GÓMEZ
2,4.0,ANÁLISIS DE CIRCUITOS,B,MARTES/12-14/F6,VIERNES/10-14/LAB. ELECTRÓNICA,,JOSÉ MARCO BALLEZA ORDAZ
3,5.0,ANÁLISIS DE LA CULTURA MEXICANA,A,JUEVES/17-20/F5,,,FERNANDO AGUAS ÁNGEL
4,6.0,ANÁLISIS TENSORIAL,A,LUNES/15-17/C2,MIÉRCOLES/15-17/C2,,FRANCISCO XAVIER LINARES CEDEÑO
5,7.0,ANÁLISIS VECTORIAL,A,MARTES/17-19/F1,JUEVES/17-19/F1,,LUIS ARTURO UREÑA LÓPEZ
6,8.0,ANATOMÍA Y FISIOLOGÍA I,A,MARTES/8-10/AUDITORIO,JUEVES/8-10/AUDITORIO,,MARÍA RAQUEL HUERTA FRANCO
7,9.0,ANATOMÍA Y FISIOLOGÍA II,A,MIÉRCOLES/8-10/C2,VIERNES/8-10/C2,,VÍCTOR HUGO HERNÁNDEZ GONZÁLEZ
8,10.0,ARQUITECTURA DE MICROCONTROLADORES,A,LUNES/8-12/LAB. DE ELECTRÓNICA,JUEVES/8-10/F8,,CARLOS VILLASEÑOR MORA
9,11.0,ARQUITECTURA DE MICROCONTROLADORES,B,MIÉRCOLES/10-14/LAB. DE ELECTRÓNICA,JUEVES/8-10/F9,,EDUARDO MONTES RAMÍREZ
10,12.0,BIOLOGÍA CELULAR,A-II,LUNES/15-17/F5,MIÉRCOLES/15-17/F5,VIERNES/8-10/LAB. DE INSTRUMENTAL,SILVIA ALEJANDRA LÓPEZ JUÁREZ
11,13.0,BIOLOGÍA CELULAR,A-III,LUNES/15-17/F5,MIÉRCOLES/15-17/F5,MARTES/10-12/LAB. DE INSTRUMENTAL,SILVIA ALEJANDRA LÓPEZ JUÁREZ/GUSTAVO BASURTO ISLAS
12,14.0,BIOLOGÍA CELULAR,B-I,MIÉRCOLES/12-14/F1,VIERNES/12-14/F1,VIERNES/10-12/LAB. DE INSTRUMENTAL,GUSTAVO BASURTO ISLAS/SILVIA ALEJANDRA LÓPEZ JUÁREZ
13,15.0,BIOLOGÍA MOLECULAR,A,LUNES/12-15/LAB. DE INSTRUMENTAL,MIÉRCOLES/12-15/LAB. DE INSTRUMENTAL,,LAURA EDITH CASTELLANO TORRES
14,16.0,BIOMATERIALES,A,MARTES/14-17/F1,JUEVES/12-15/F9,,ARGELIA ROSILLO/JORGE DELGADO/BIRZABITH MENDOZA/IRAIS QUINTERA/LAURA CASTELLANO
15,17.0,BIOQUÍMICA,A-I,MARTES/8-10/F7,VIERNES/8-10/F7,MIERCOLES/15-18/LAB. DE QUÍMICA,LAURA EDITH CASTELLANO TORRES
16,18.0,BIOQUÍMICA,A-II,MARTES/8-10/F7,VIERNES/8-10/F7,JUEVES/16-19/LAB. DE QUÍMICA,LAURA EDITH CASTELLANO TORRES/ARGELIA ROSILLO DE LA TORRE
17,19.0,BIOTECNOLOGÍA,A,MARTES/14-17/F7,JUEVES/14-17/F7,,ÉDGAR VÁZQUEZ NÚÑEZ/ARGELIA ROSILLO DE LA TORRE/LAURA CASTELLANO/BIRZABITH MENDOZA
18,20.0,CÁLCULO DE VARIAS VARIABLES,A,LUNES/8-10/F5,MIÉRCOLES/8-10/F5,,GUSTAVO NIZ QUEVEDO
19,21.0,CÁLCULO DE VARIAS VARIABLES,B,LUNES/10-12/F8,MIÉRCOLES/10-12/F8,,LORENA BERENICE VELÁZQUEZ IBARRA
20,22.0,CÁLCULO DE VARIAS VARIABLES,C,LUNES/12-14/F1,MIÉRCOLES/12-14/F5,,LORENA BERENICE VELÁZQUEZ IBARRA
21,23.0,CÁLCULO DE VARIAS VARIABLES,D,LUNES/15-17/F1,JUEVES/15-17/F1,,LUIS ARTURO UREÑA LÓPEZ
22,24.0,CÁLCULO INTEGRAL,A,LUNES/15-17/F9,MIÉRCOLES/15-17/F9,,AZARAEL ADONAY YEBRA PÉREZ
